# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2008-04-08 18:23:17 EDT
#
# Data for the following site(s) are contained in this file
#    USGS 05242300 MISSISSIPPI RIVER AT BRAINERD, MN
#    USGS 05270700 MISSISSIPPI RIVER AT ST. CLOUD, MN
#    USGS 05331000 MISSISSIPPI RIVER AT ST. PAUL, MN
#    USGS 05378500 MISSISSIPPI RIVER AT WINONA, MN
#    USGS 05389500 Mississippi River at McGregor, IA
#    USGS 05420500 Mississippi River at Clinton, IA
#    USGS 05587450 Mississippi River at Grafton, IL
#    USGS 07010000 Mississippi River at St. Louis, MO
#    USGS 07022000 Mississippi River at Thebes, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05242300
#    DD parameter statistic   Description
#    10   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	10_00060_00003	10_00060_00003_cd
5s	15s	16d	14n	10s
USGS	05242300	1990-01-01	1590	A
USGS	05242300	1990-01-02	1870	A
USGS	05242300	1990-01-03	1870	A
USGS	05242300	1990-01-04	1870	A
USGS	05242300	1990-01-05	1870	A
USGS	05242300	1990-01-06	1870	A
USGS	05242300	1990-01-07	1870	A
USGS	05242300	1990-01-08	1510	A
USGS	05242300	1990-01-09	1960	A
USGS	05242300	1990-01-10	1960	A
USGS	05242300	1990-01-11	1960	A
USGS	05242300	1990-01-12	1960	A
USGS	05242300	1990-01-13	1960	A
USGS	05242300	1990-01-14	1960	A
USGS	05242300	1990-01-15	1960	A
USGS	05242300	1990-01-16	1590	A
USGS	05242300	1990-01-17	1590	A
USGS	05242300	1990-01-18	1590	A
USGS	05242300	1990-01-19	1440	A
USGS	05242300	1990-01-20	1440	A
USGS	05242300	1990-01-21	1440	A
USGS	05242300	1990-01-22	1510	A
USGS	05242300	1990-01-23	1430	A
USGS	05242300	1990-01-24	1440	A
USGS	05242300	1990-01-25	1440	A
USGS	05242300	1990-01-26	1440	A
USGS	05242300	1990-01-27	1460	A
USGS	05242300	1990-01-28	1480	A
USGS	05242300	1990-01-29	1430	A
USGS	05242300	1990-01-30	1430	A
USGS	05242300	1990-01-31	1440	A
USGS	05242300	1990-02-01	1440	A
USGS	05242300	1990-02-02	1370	A
USGS	05242300	1990-02-03	1370	A
USGS	05242300	1990-02-04	1380	A
USGS	05242300	1990-02-05	1380	A
USGS	05242300	1990-02-06	1370	A
USGS	05242300	1990-02-07	1370	A
USGS	05242300	1990-02-08	1500	A
USGS	05242300	1990-02-09	1540	A
USGS	05242300	1990-02-10	1370	A
