Year;State;County;Number of Farms;Total Farm Area;Area per Farm;Land in Farms;Change Since 1970
;;;;acre;acre;%;%
1970;WI    ;Adams;580;148000;255;35.7;
1971;WI    ;Adams;550;146100;266;35.2;-0.5
1972;WI    ;Adams;530;143100;270;34.5;-0.7
1973;WI    ;Adams;530;142800;269;34.4;-0.1
1974;WI    ;Adams;520;141200;272;34.0;-0.4
1975;WI    ;Adams;480;135000;281;32.6;-1.5
1976;WI    ;Adams;460;131000;285;31.6;-1.0
1977;WI    ;Adams;440;127900;291;30.8;-0.7
1978;WI    ;Adams;440;127000;289;30.6;-0.2
1979;WI    ;Adams;440;127000;289;30.6;0.0
1980;WI    ;Adams;430;127900;297;30.8;0.2
1981;WI    ;Adams;430;128900;300;31.1;0.2
1982;WI    ;Adams;420;128200;305;30.9;-0.2
1983;WI    ;Adams;470;126000;268;30.4;-0.5
1984;WI    ;Adams;460;123000;267;29.7;-0.7
1985;WI    ;Adams;450;122000;271;29.4;-0.2
1986;WI    ;Adams;440;121000;275;29.2;-0.2
1987;WI    ;Adams;420;123000;293;29.7;0.5
1988;WI    ;Adams;430;126000;293;30.4;0.7
1989;WI    ;Adams;420;121000;288;29.2;-1.2
1990;WI    ;Adams;410;121000;295;29.2;0.0
1991;WI    ;Adams;400;121000;303;29.2;0.0
1992;WI    ;Adams;390;133000;341;32.1;2.9
1993;WI    ;Adams;390;131000;336;31.6;-0.5
1994;WI    ;Adams;390;130000;333;31.3;-0.2
1995;WI    ;Adams;390;128000;328;30.9;-0.5
1996;WI    ;Adams;390;127000;326;30.6;-0.2
1997;WI    ;Adams;430;134000;312;32.3;1.7
1998;WI    ;Adams;420;132000;314;31.8;-0.5
1999;WI    ;Adams;420;132000;314;31.8;0.0
1970;WI    ;Ashland;510;89000;175;13.3;
1971;WI    ;Ashland;500;88600;177;13.3;-0.1
1972;WI    ;Ashland;470;87800;187;13.1;-0.1
1973;WI    ;Ashland;470;87700;187;13.1;0.0
1974;WI    ;Ashland;460;86600;188;13.0;-0.2
1975;WI    ;Ashland;420;84000;200;12.6;-0.4
1976;WI    ;Ashland;410;82000;200;12.3;-0.3
1977;WI    ;Ashland;390;79300;203;11.9;-0.4
1978;WI    ;Ashland;380;77500;204;11.6;-0.3
1979;WI    ;Ashland;360;77500;215;11.6;0.0
1980;WI    ;Ashland;350;75700;216;11.3;-0.3
1981;WI    ;Ashland;330;75700;229;11.3;0.0
1982;WI    ;Ashland;330;75300;228;11.3;-0.1
1983;WI    ;Ashland;320;73100;228;10.9;-0.3
1984;WI    ;Ashland;310;71600;231;10.7;-0.2
1985;WI    ;Ashland;290;71000;245;10.6;-0.1
1986;WI    ;Ashland;290;71000;245;10.6;0.0
1987;WI    ;Ashland;270;68000;252;10.2;-0.4
1988;WI    ;Ashland;270;68000;252;10.2;0.0
1989;WI    ;Ashland;270;68000;252;10.2;0.0
1990;WI    ;Ashland;260;68000;262;10.2;0.0
1991;WI    ;Ashland;260;67000;258;10.0;-0.1
1992;WI    ;Ashland;240;58000;242;8.7;-1.3
1993;WI    ;Ashland;240;57000;238;8.5;-0.1
1994;WI    ;Ashland;240;56000;233;8.4;-0.1
1995;WI    ;Ashland;240;56000;233;8.4;0.0
1996;WI    ;Ashland;230;55000;239;8.2;-0.1
1997;WI    ;Ashland;230;52000;226;7.8;-0.4
1998;WI    ;Ashland;230;52000;226;7.8;0.0
1999;WI    ;Ashland;230;52000;226;7.8;0.0
1970;WI    ;Barron;2460;447000;182;80.9;
1971;WI    ;Barron;2410;441700;183;80.0;-1.0
1972;WI    ;Barron;2400;440900;184;79.8;-0.1
1973;WI    ;Barron;2380;437900;184;79.3;-0.5
1974;WI    ;Barron;2370;437700;185;79.2;0.0
1975;WI    ;Barron;2260;431000;191;78.0;-1.2
1976;WI    ;Barron;2200;424000;193;76.8;-1.3
1977;WI    ;Barron;2180;423700;194;76.7;-0.1
1978;WI    ;Barron;2170;420900;194;76.2;-0.5
1979;WI    ;Barron;2150;419700;195;76.0;-0.2
1980;WI    ;Barron;2150;419700;195;76.0;0.0
1981;WI    ;Barron;2120;419000;198;75.9;-0.1
1982;WI    ;Barron;2080;416600;200;75.4;-0.4
1983;WI    ;Barron;1990;407300;205;73.7;-1.7
1984;WI    ;Barron;1950;403600;207;73.1;-0.7
1985;WI    ;Barron;1890;404000;214;73.1;0.1
1986;WI    ;Barron;1870;403000;216;73.0;-0.2
1987;WI    ;Barron;1810;400000;221;72.4;-0.5
1988;WI    ;Barron;1820;399000;219;72.2;-0.2
1989;WI    ;Barron;1820;400000;220;72.4;0.2
1990;WI    ;Barron;1790;400000;223;72.4;0.0
1991;WI    ;Barron;1750;399000;228;72.2;-0.2
1992;WI    ;Barron;1730;394000;228;71.3;-0.9
1993;WI    ;Barron;1730;390000;225;70.6;-0.7
1994;WI    ;Barron;1730;383000;221;69.3;-1.3
1995;WI    ;Barron;1730;381000;220;69.0;-0.4
1996;WI    ;Barron;1730;377000;218;68.3;-0.7
1997;WI    ;Barron;1670;363000;217;65.7;-2.5
1998;WI    ;Barron;1660;359000;216;65.0;-0.7
1999;WI    ;Barron;1660;356000;214;64.5;-0.5
1970;WI    ;Bayfield;850;147000;173;15.6;
1971;WI    ;Bayfield;800;144900;181;15.3;-0.2
1972;WI    ;Bayfield;750;142300;190;15.1;-0.3
1973;WI    ;Bayfield;720;136800;190;14.5;-0.6
1974;WI    ;Bayfield;700;134600;192;14.2;-0.2
1975;WI    ;Bayfield;660;132000;200;14.0;-0.3
1976;WI    ;Bayfield;600;124000;207;13.1;-0.8
1977;WI    ;Bayfield;570;120700;212;12.8;-0.3
1978;WI    ;Bayfield;560;118900;212;12.6;-0.2
1979;WI    ;Bayfield;550;117500;214;12.4;-0.1
1980;WI    ;Bayfield;540;115800;214;12.3;-0.2
1981;WI    ;Bayfield;530;115800;218;12.3;0.0
1982;WI    ;Bayfield;510;115100;226;12.2;-0.1
1983;WI    ;Bayfield;470;116600;248;12.3;0.2
1984;WI    ;Bayfield;460;115600;251;12.2;-0.1
1985;WI    ;Bayfield;450;115000;256;12.2;-0.1
1986;WI    ;Bayfield;430;114000;265;12.1;-0.1
1987;WI    ;Bayfield;430;113000;263;12.0;-0.1
1988;WI    ;Bayfield;430;112000;260;11.9;-0.1
1989;WI    ;Bayfield;430;112000;260;11.9;0.0
1990;WI    ;Bayfield;430;112000;260;11.9;0.0
1991;WI    ;Bayfield;420;110000;262;11.6;-0.2
1992;WI    ;Bayfield;420;109000;260;11.5;-0.1
1993;WI    ;Bayfield;420;108000;257;11.4;-0.1
1994;WI    ;Bayfield;420;107000;255;11.3;-0.1
1995;WI    ;Bayfield;420;106000;252;11.2;-0.1
1996;WI    ;Bayfield;410;103000;251;10.9;-0.3
1997;WI    ;Bayfield;390;94000;241;10.0;-1.0
1998;WI    ;Bayfield;390;94000;241;10.0;0.0
1999;WI    ;Bayfield;390;94000;241;10.0;0.0
1970;WI    ;Brown;1950;277000;142;81.8;
1971;WI    ;Brown;1930;273700;142;80.8;-1.0
1972;WI    ;Brown;1920;274800;143;81.2;0.3
1973;WI    ;Brown;1910;274000;143;80.9;-0.2
1974;WI    ;Brown;1890;272400;144;80.5;-0.5
1975;WI    ;Brown;1800;270000;150;79.7;-0.7
